Machine ID,Duration (sec),ReasonCode,Lot ID,Product Code,Machine Group
M-102,90,Jam,LOT-0016,PRD-B,GroupA
M-103,96,Sensor Fault,LOT-0035,PRD-A,GroupA
M-302,43,Jam,LOT-0014,PRD-B,GroupC
M-101,1716,PM-Scheduled,LOT-0027,PRD-B,GroupA
M-303,613,PM-Scheduled,LOT-0011,PRD-D,GroupC
M-301,75,Jam,LOT-0022,PRD-A,GroupC
M-102,667,Changeover,LOT-0023,PRD-E,GroupA
M-202,530,Material Shortage,LOT-0035,PRD-A,GroupB
M-302,95,Jam,LOT-0040,PRD-C,GroupC
M-201,15,Sensor Fault,LOT-0015,PRD-C,GroupB
M-102,163,Material Shortage,LOT-0025,PRD-C,GroupA
M-303,56,Sensor Fault,LOT-0011,PRD-C,GroupC
M-301,88,Jam,LOT-0005,PRD-E,GroupC
M-103,550,Changeover,LOT-0011,PRD-D,GroupA
M-302,162,Jam,LOT-0015,PRD-C,GroupC
M-101,50,Jam,LOT-0021,PRD-D,GroupA
M-202,165,Jam,LOT-0021,PRD-B,GroupB
M-303,769,Changeover,LOT-0010,PRD-C,GroupC
M-103,163,Jam,LOT-0035,PRD-C,GroupA
M-302,162,Quality Check,LOT-0024,PRD-B,GroupC
M-103,393,Changeover,LOT-0004,PRD-A,GroupA
M-103,111,Sensor Fault,LOT-0028,PRD-E,GroupA
M-102,779,Changeover,LOT-0034,PRD-C,GroupA
M-101,24,Sensor Fault,LOT-0035,PRD-C,GroupA
M-301,131,Jam,LOT-0011,PRD-D,GroupC
M-101,214,Adjustment,LOT-0017,PRD-E,GroupA
M-103,408,Changeover,LOT-0020,PRD-E,GroupA
M-201,61,Jam,LOT-0035,PRD-E,GroupB
M-101,1600,PM-Scheduled,LOT-0002,PRD-A,GroupA
M-301,374,Material Shortage,LOT-0016,PRD-A,GroupC
M-201,140,Material Shortage,LOT-0006,PRD-D,GroupB
M-102,605,Unplanned Stop,LOT-0009,PRD-B,GroupA
M-303,72,Adjustment,LOT-0017,PRD-E,GroupC
M-302,168,Adjustment,LOT-0013,PRD-C,GroupC
M-302,725,Unplanned Stop,LOT-0024,PRD-D,GroupC
M-303,77,Jam,LOT-0005,PRD-C,GroupC
M-101,1071,PM-Scheduled,LOT-0038,PRD-B,GroupA
M-101,63,Jam,LOT-0015,PRD-A,GroupA
M-101,132,Material Shortage,LOT-0033,PRD-B,GroupA
M-202,37,Sensor Fault,LOT-0035,PRD-B,GroupB
M-303,141,Jam,LOT-0027,PRD-B,GroupC
M-102,130,Jam,LOT-0023,PRD-D,GroupA
M-302,355,Changeover,LOT-0007,PRD-A,GroupC
M-302,112,Sensor Fault,LOT-0007,PRD-B,GroupC
M-201,134,Jam,LOT-0009,PRD-D,GroupB
M-103,83,Jam,LOT-0005,PRD-D,GroupA
M-102,158,Jam,LOT-0001,PRD-A,GroupA
M-201,144,Jam,LOT-0031,PRD-B,GroupB
M-302,15,Power Blip,LOT-0025,PRD-A,GroupC
M-302,136,Jam,LOT-0019,PRD-D,GroupC
M-303,95,Jam,LOT-0014,PRD-A,GroupC
M-101,17,Sensor Fault,LOT-0004,PRD-E,GroupA
M-303,843,Changeover,LOT-0011,PRD-A,GroupC
M-102,130,Material Shortage,LOT-0039,PRD-A,GroupA
M-201,883,Changeover,LOT-0016,PRD-E,GroupB
M-101,63,Sensor Fault,LOT-0038,PRD-E,GroupA
M-301,18,Power Blip,LOT-0021,PRD-B,GroupC
M-202,607,Changeover,LOT-0030,PRD-C,GroupB
M-102,179,Jam,LOT-0037,PRD-A,GroupA
M-102,818,Changeover,LOT-0017,PRD-B,GroupA
M-301,285,Quality Check,LOT-0016,PRD-C,GroupC
M-202,159,Jam,LOT-0020,PRD-E,GroupB
M-101,80,Sensor Fault,LOT-0020,PRD-A,GroupA
M-103,47,Jam,LOT-0036,PRD-B,GroupA
M-202,73,Jam,LOT-0022,PRD-B,GroupB
