CAUSE ANALYSIS (CA) - descriptive Pareto by Lot ID
======================================================================
Total events   : 1500
Total downtime : 506,600 sec (140:43:20)
Unique Lot ID values: 40

Rank  Lot ID    Count  Duration(sec)  Duration(hh:mm:ss)  % Total   Cum %
----  --------  -----  -------------  ------------------  -------  ------
1     LOT-0032     47         18,231            05:03:51     3.6%    3.6%
2     LOT-0036     42         17,043            04:44:03     3.4%    7.0%
3     LOT-0013     39         16,945            04:42:25     3.3%   10.3%
4     LOT-0019     45         16,680            04:38:00     3.3%   13.6%
5     LOT-0034     41         16,342            04:32:22     3.2%   16.8%
6     LOT-0021     44         16,208            04:30:08     3.2%   20.0%
7     LOT-0008     39         15,930            04:25:30     3.1%   23.2%
8     LOT-0031     42         15,857            04:24:17     3.1%   26.3%
9     LOT-0024     34         15,451            04:17:31     3.0%   29.3%
10    LOT-0016     49         15,280            04:14:40     3.0%   32.4%
11    LOT-0009     51         14,347            03:59:07     2.8%   35.2%
12    LOT-0012     31         14,298            03:58:18     2.8%   38.0%
13    LOT-0033     38         13,995            03:53:15     2.8%   40.8%
14    LOT-0025     48         13,786            03:49:46     2.7%   43.5%
15    LOT-0030     35         13,459            03:44:19     2.7%   46.2%
16    LOT-0007     41         13,393            03:43:13     2.6%   48.8%
17    LOT-0029     46         13,362            03:42:42     2.6%   51.4%
18    LOT-0018     36         13,253            03:40:53     2.6%   54.1%
19    LOT-0027     33         13,075            03:37:55     2.6%   56.6%
20    LOT-0011     37         12,971            03:36:11     2.6%   59.2%
21    LOT-0023     37         12,715            03:31:55     2.5%   61.7%
22    LOT-0002     30         12,099            03:21:39     2.4%   64.1%
23    LOT-0035     44         12,080            03:21:20     2.4%   66.5%
24    LOT-0022     33         11,720            03:15:20     2.3%   68.8%
25    LOT-0006     35         11,435            03:10:35     2.3%   71.1%
26    LOT-0004     36         11,402            03:10:02     2.3%   73.3%
27    LOT-0003     33         10,984            03:03:04     2.2%   75.5%
28    LOT-0028     34         10,884            03:01:24     2.1%   77.6%
29    LOT-0010     34         10,531            02:55:31     2.1%   79.7%
30    LOT-0020     39         10,367            02:52:47     2.0%   81.7%
31    LOT-0026     33         10,304            02:51:44     2.0%   83.8%
32    LOT-0038     38         10,296            02:51:36     2.0%   85.8%
33    LOT-0014     36          9,900            02:45:00     2.0%   87.8%
34    LOT-0001     33          9,866            02:44:26     1.9%   89.7%
35    LOT-0017     25          9,657            02:40:57     1.9%   91.6%
36    LOT-0040     33          9,632            02:40:32     1.9%   93.5%
37    LOT-0005     32          8,884            02:28:04     1.8%   95.3%
38    LOT-0015     28          8,722            02:25:22     1.7%   97.0%
39    LOT-0039     32          7,765            02:09:25     1.5%   98.5%
40    LOT-0037     37          7,451            02:04:11     1.5%  100.0%

Top contributor: 'LOT-0032' -> 18,231 sec (3.6% of total downtime, 47 events)
Pareto (80/20): top 30 of 40 Lot ID value(s) account for ~80% of total downtime.
