Lot ID,Critical,High,Low,Medium,Row Total
LOT-0001,5111,2952,150,1653,9866
LOT-0002,8331,2932,339,497,12099
LOT-0003,7204,2540,488,752,10984
LOT-0004,6487,2877,320,1718,11402
LOT-0005,6082,1261,670,871,8884
LOT-0006,6564,3561,433,877,11435
LOT-0007,8327,3499,478,1089,13393
LOT-0008,11897,2880,476,677,15930
LOT-0009,6571,5408,549,1819,14347
LOT-0010,5716,3459,670,686,10531
LOT-0011,8561,3024,340,1046,12971
LOT-0012,10937,1706,317,1338,14298
LOT-0013,12547,3197,428,773,16945
LOT-0014,5569,2616,645,1070,9900
LOT-0015,6276,1189,238,1019,8722
LOT-0016,8160,4420,340,2360,15280
LOT-0017,7052,1795,340,470,9657
LOT-0018,7679,3896,368,1310,13253
LOT-0019,10569,4193,543,1375,16680
LOT-0020,3388,5590,435,954,10367
LOT-0021,10795,3677,648,1088,16208
LOT-0022,7082,3582,486,570,11720
LOT-0023,8089,3095,458,1073,12715
LOT-0024,12493,1630,167,1161,15451
LOT-0025,7808,3490,678,1810,13786
LOT-0026,6030,2686,339,1249,10304
LOT-0027,9472,2245,520,838,13075
LOT-0028,5916,3537,334,1097,10884
LOT-0029,5964,5502,765,1131,13362
LOT-0030,8693,3340,187,1239,13459
LOT-0031,9382,5018,460,997,15857
LOT-0032,13041,3048,560,1582,18231
LOT-0033,7458,5247,311,979,13995
LOT-0034,8860,6287,419,776,16342
LOT-0035,5822,3749,599,1910,12080
LOT-0036,11826,3903,474,840,17043
LOT-0037,2912,2632,666,1241,7451
LOT-0038,4682,3116,326,2172,10296
LOT-0039,3681,2605,454,1025,7765
LOT-0040,4908,2966,601,1157,9632
Column Total,307942,134350,18019,46289,506600
