ReasonCode,LOT-0001,LOT-0002,LOT-0003,LOT-0004,LOT-0005,LOT-0006,LOT-0007,LOT-0008,LOT-0009,LOT-0010,LOT-0011,LOT-0012,LOT-0013,LOT-0014,LOT-0015,LOT-0016,LOT-0017,LOT-0018,LOT-0019,LOT-0020,LOT-0021,LOT-0022,LOT-0023,LOT-0024,LOT-0025,LOT-0026,LOT-0027,LOT-0028,LOT-0029,LOT-0030,LOT-0031,LOT-0032,LOT-0033,LOT-0034,LOT-0035,LOT-0036,LOT-0037,LOT-0038,LOT-0039,LOT-0040,Row Total
Adjustment,0,0,34,0,0,115,215,0,595,467,0,0,407,0,276,0,286,0,229,0,205,0,150,117,0,509,0,0,107,351,0,349,300,366,219,32,147,372,0,0,5848
Changeover,4530,3889,7603,6511,3275,6471,8601,9066,6665,3636,6460,4002,11563,6821,3605,6260,3142,6265,6610,4343,6602,4098,4530,6253,3756,3188,4689,4012,6969,6209,6642,6923,6257,5899,5979,8491,4139,2865,2731,6203,225753
Jam,1206,917,897,1310,829,496,889,1274,1682,783,815,1377,750,930,1219,2749,480,1883,1267,1802,1436,1217,1890,938,1560,1437,1303,1513,1059,1042,1508,1450,711,981,1161,1175,1096,2096,1783,1260,50171
Material Shortage,1106,1283,669,619,539,2158,1857,585,2070,1947,1933,1030,786,998,358,1537,971,1619,706,1437,2303,1295,1118,684,816,1442,835,2354,945,1860,2489,1070,2247,1148,1201,1677,1380,1509,1158,261,52000
Operator Break,413,0,1472,365,1649,0,0,343,1171,692,419,338,993,528,529,937,465,0,1208,875,445,972,504,0,998,384,0,0,2321,1003,389,566,339,441,872,1109,0,0,853,0,23593
PM-Scheduled,920,5059,0,2005,1880,1683,698,2978,0,1758,2435,7273,1658,0,1549,2982,2218,1690,5671,735,2924,3011,3477,5426,5241,3020,5190,2450,0,2593,4384,6227,1928,5880,1454,4273,0,2474,0,1222,104366
Power Blip,14,37,168,82,19,42,113,52,89,0,20,28,0,0,72,0,0,97,60,9,182,14,88,41,134,90,5,26,0,12,0,152,0,59,35,13,44,88,36,79,2000
Quality Check,111,0,0,0,101,0,227,0,0,0,513,0,0,0,0,285,110,0,0,0,248,94,0,162,94,0,0,258,244,0,328,0,277,685,149,0,0,0,142,0,4028
Sensor Fault,251,308,141,510,592,470,570,130,552,400,376,114,283,462,103,530,251,163,446,509,290,274,98,358,1006,234,318,271,725,213,117,245,331,178,791,273,645,342,232,450,14552
Unplanned Stop,1315,606,0,0,0,0,223,1502,1523,848,0,136,505,161,1011,0,1734,1536,483,657,1573,745,860,1472,181,0,735,0,992,176,0,1249,1605,705,219,0,0,550,830,157,24289
Column Total,9866,12099,10984,11402,8884,11435,13393,15930,14347,10531,12971,14298,16945,9900,8722,15280,9657,13253,16680,10367,16208,11720,12715,15451,13786,10304,13075,10884,13362,13459,15857,18231,13995,16342,12080,17043,7451,10296,7765,9632,506600
