ReasonCode,PRD-A,PRD-B,PRD-C,PRD-D,PRD-E,Row Total
Adjustment,567,1694,1301,491,1795,5848
Changeover,40837,50140,46362,40834,47580,225753
Jam,9590,10759,9206,9813,10803,50171
Material Shortage,15095,8193,8444,9875,10393,52000
Operator Break,6152,2751,3006,5117,6567,23593
PM-Scheduled,20913,14891,21677,24747,22138,104366
Power Blip,364,455,184,546,451,2000
Quality Check,387,1054,634,814,1139,4028
Sensor Fault,2796,3264,2526,3147,2819,14552
Unplanned Stop,3631,5005,5008,5973,4672,24289
Column Total,100332,98206,98348,101357,108357,506600
